date,country,country_code,project,access,article,qid,views
2017-02-09,Spain,ES,es.wikipedia,1019739,Facebook,Q355,599
2017-02-09,Canada,CA,en.wikipedia,7529378,Facebook,Q355,586
2017-02-09,Mexico,MX,es.wikipedia,1019739,Facebook,Q355,1369
2017-02-10,Algeria,DZ,ar.wikipedia,232568,ÙÙØ³_Ø¨ÙÙ,Q355,694
2017-02-10,France,FR,fr.wikipedia,1695137,Twitter,Q918,754
2017-02-10,Germany,DE,de.wikipedia,1397776,YouTube,Q866,2153
2017-02-10,Mexico,MX,es.wikipedia,4578215,Twitter,Q918,519
2017-02-10,Spain,ES,es.wikipedia,4779374,WhatsApp,Q1049511,472
2017-02-10,Germany,DE,en.wikipedia,3524766,YouTube,Q866,506
2017-02-10,United States of America,US,es.wikipedia,1019739,Facebook,Q355,476
2017-02-10,Germany,DE,en.wikipedia,7529378,Facebook,Q355,1084
2017-02-10,South Korea,KR,ko.wikipedia,822425,ì¸ì¤íê·¸ë¨,Q209330,590
2017-02-10,Germany,DE,de.wikipedia,6501279,Instagram,Q209330,1757
2017-02-10,Germany,DE,de.wikipedia,1783100,Facebook,Q355,2107
2017-02-10,Italy,IT,it.wikipedia,2658829,Facebook,Q355,2412
2017-02-10,Nigeria,NG,en.wikipedia,7529378,Facebook,Q355,556
2017-02-10,India,IN,en.wikipedia,9988187,Twitter,Q918,799
2017-02-10,Indonesia,ID,en.wikipedia,3524766,YouTube,Q866,1181
2017-02-10,Brazil,BR,pt.wikipedia,330581,YouTube,Q866,1708
2017-02-10,Argentina,AR,en.wikipedia,7529378,Facebook,Q355,570
2017-02-10,United States of America,US,en.wikipedia,7529378,Facebook,Q355,11307
2017-02-10,India,IN,en.wikipedia,7529378,Facebook,Q355,4479
2017-02-10,United Kingdom,GB,en.wikipedia,32058867,WhatsApp,Q1049511,624
2017-02-10,Taiwan,TW,zh.wikipedia,293080,U2B,Q866,1175
2017-02-10,Netherlands,NL,nl.wikipedia,490956,YouTube,Q866,759
2017-02-10,Mexico,MX,en.wikipedia,7529378,Facebook,Q355,1201
2017-02-10,India,IN,en.wikipedia,31591547,Instagram,Q209330,1166
2017-02-10,Morocco,MA,fr.wikipedia,3252248,Facebook,Q355,1257
2017-02-10,Philippines,PH,en.wikipedia,7529378,Facebook,Q355,680
2017-02-10,Italy,IT,en.wikipedia,7529378,Facebook,Q355,903
2017-02-10,Taiwan,TW,zh.wikipedia,572923,Facebook,Q355,664
2017-02-10,Brazil,BR,pt.wikipedia,3876652,WhatsApp,Q1049511,975
2017-02-10,Canada,CA,en.wikipedia,9988187,Twitter,Q918,472
2017-02-10,Poland,PL,pl.wikipedia,2910444,Instagram,Q209330,467
2017-02-10,Spain,ES,en.wikipedia,7529378,Facebook,Q355,550
2017-02-10,Italy,IT,it.wikipedia,3700969,Instagram,Q209330,978
2017-02-10,Angola,AO,pt.wikipedia,1051474,Facebook,Q355,1070
2017-02-10,Algeria,DZ,fr.wikipedia,3252248,Facebook,Q355,1429
2017-02-10,Canada,CA,en.wikipedia,3524766,YouTube,Q866,1242
2017-02-10,United States of America,US,es.wikipedia,362760,YouTube,Q866,632
2017-02-10,Indonesia,ID,en.wikipedia,7529378,Facebook,Q355,1599
2017-02-10,Philippines,PH,en.wikipedia,3524766,YouTube,Q866,571
2017-02-10,Ukraine,UA,ru.wikipedia,275424,YouTube,Q866,2225
2017-02-10,Morocco,MA,ar.wikipedia,232568,ÙÙØ³_Ø¨ÙÙ,Q355,511
2017-02-10,Colombia,CO,en.wikipedia,7529378,Facebook,Q355,527
2017-02-10,India,IN,en.wikipedia,32058867,WhatsApp,Q1049511,3237
2017-02-10,Poland,PL,pl.wikipedia,553300,YouTube,Q866,1005
2017-02-10,Italy,IT,it.wikipedia,3771348,WhatsApp,Q1049511,464
2017-02-10,Spain,ES,es.wikipedia,4578215,Twitter,Q918,472
2017-02-10,France,FR,en.wikipedia,7529378,Facebook,Q355,647
2017-02-10,Spain,ES,es.wikipedia,5125182,Instagram,Q209330,517
2017-02-10,Ukraine,UA,ru.wikipedia,919912,Facebook,Q355,707
